IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
4926,99,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4927,107,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4928,106,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4929,104,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4930,103,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4931,109,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4932,110,1,,&,,a,,,,a,2c,h,a,h,a,a,a,a,2c,h,a,2c,a,a,a,,
4933,112,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4934,114,1,,&,,g,,,,g,g/a,2c,2c,h,h/a,a,g/a,2c,2c,h,h/a,a,g,g,g[d],,114
4935,118,1,,&,,g,,,,g,g/a,2c,2c,h,h/a,a,g/a,2c,2c,h,h/a,a,g,g,g[d],,118
4936,117,1,,&,,g,,,,g,g/a,2c,2c,h,h/a,a,g/a,2c,2c,h,h/a,a,g,g,g[d],,117
4938,115,1,,&,,g,,,,g,g/a,2c,2c,h,h/a,a,g/a,2c,2c,h,h/a,a,g,g,g[d],,115
4939,124,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4940,123,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4941,122,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4942,121,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4480,4369,1,,&,#f,d/g,,,,2d,2g,h,2d,2c,h,a,h,2c,2e,a,2c,2e,2d,2d,2d,,
4481,4370,1,,&,#f,h/g,,240,,2d,#c,2d,2e,2e,2d,2d,h,2d,2c,2c,a,2e,2d,2d,h,,
4482,4371,1,,&,#f,e,,,,e,e,a,e,e,e/f,g,f,g,f,g,f,f,e,e,e,,
4483,4372,1,,&,,g,,,,h,h,h,h,2c,2c,a,a,a,a,a,g,h,h,g,g,,
4484,4373,1,,&,#f,g,,,,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
4485,4374,1,,&,#f,a,,,,a,a,2d,a,a,h,2c,a,h,2c,a,g,h,a,a,a,,
4486,4375,1,,&,bh;be;ba;bd,h/a,,,,2e,2e,2f,2e,2c,2c,2c,a,2c,2c,2e,2d,h,h,h,h,,
4487,4378,1,,&,#f,g,,,,g,h,g,e,e,d,d,d,d,f,f,d,g,g,g,g,,
4488,4378,2,,&,#f,g,,,,d,g,g,e,e,e,d,d,d,f,f,d,d,g,g,g,,
4489,4379,1,,&,bh,f,,,,h,g,g,h,a,f,f,f,g,c,c,c,f,f,f,f,,
4490,4380,1,,&,#f;#c;#g,a,,,,a,2c,a,2c,2e,2e,2e,2e,g,h,g,h,2c,a,a,a,,
4491,4381,1,,&,,,,,,2d,2d,2g,2f,2e,2d,2c,2c,h,2e,2d,2c,h,a,g,g,,
4492,4382,1,,&,#f,g,,,,2e,2d,2d,h,2e,2d,2d,h,h,a,a,g,h,g,g,g,,
4493,4383,1,,&,#f,g,,,,2e,2d,2d,h,2e,2d,2d,2d[h],h,a,a,g,h,g,g,g,,
4494,4384,1,,&,,e/c,,,,e,e/f,a,e,e,e/f,g,e,a,d,d,e/f,g,e,e,e,,
4495,4385,1,,&,bh,g,,,,g,2c,2c[2c/g],g,g,a,h,g,a,a,g,e,f,g,g,g,,
4496,4385,2,,&,bh,g,,,,g,2c,2c,g,g,h,h/g,g,a,a,g,e,e,f,g,g,,
4497,4385,3,,&,bh,g,,,,g,2c,2c,g,a,h,g,h,a,a,g,e,g,g,g,g,,
4498,4386,1,,&,#f,g,,,,2d,2e[2d],2d,h,2c,h,g,g[a],a[h],d[e],d,d,g[a],g,g,g,,
4499,4386,2,,&,#f,g,,,,2d,2d/2e,2d,2c,2d,h,a,g,a,e,d,d,a,g,g,g,,
4500,4386,3,,&,#f,g,,,,2d,2d/2e,2d,2c,h,g,g,g,h,a,f,d,a,g,g,g,,
4501,4386,4,,&,#f,g,,,,2d,2d,2d,2e,2d,h,a,g,h,a,a,f[d},a,g,g,g,,
4502,4386,5,,&,#f,g,,,,2d,2d,2d,2c,2c,a,a,g,a,d,a,d,a,g,g,g,,
4503,4386,6,,&,#f,g,,,,2d,2d,2d,h,h,g,g,g,a[h],d[a],d[a],d[f],a,g,g,g,,
4504,4387,1,,&,#f;#c;#g,a,,,,a,a,2c,a,a,f,f/e,e,e,2d,2c,h,h,a,a,a,,
4505,4388,1,,&,#f;#c,d,,,,a,a,a,d,f,f,e,e,g,g,g,c,e,e,d,d,[ei arvestanud esimest kahte rida.- E.T.],
4506,4389,1,,&,#f;#c;#g,a/e?,,,,g,g/a,g,e,a,a/h,a,f,h,h/2c,h,g,a,a,a,a,,
4507,4390,1,,&,,g,,,,g,2e,g,2e,2d,2c,h,a,a,2d,a,2d,2c,h,a,g,,
4508,4391,1,,&,bh,c/f?,,,,h,h,2d,h,a,a,2c,a,g,g,h,g,f,a,2c,2c,,
4510,4393,1,,&,#f,g,,,,2d,2e,2d,h,2c/h,a,g,g,a,h,a/g,f/d,g,g,g,g,,
4511,4394,1,,&,,c,,,4/4,2c,a,a,a,h,2c,2d,2d,2c,g,g,g,a,h,2c,2c,,
4512,4395,1,,&,,h/g,,,,2d,2e,2d,h,2d,h,h,2d,2c,a,a,2c,2d,h,h,2d,,
4513,4396,1,,&,,a,,,,h,h,g,g,2e,2e,2d,2d,h,h,g,g,2c,2c,a,a,,
4514,4397,1,,&,bh,f,,,,h,h,2d,h,a,a,2c,a,g,g,h,g,f,a,2c,2c,,
4515,4398,1,,&,bh;be;ba;bd;bg,g,,,,2d,h,2c,a,2d,h,h,h,h,a,a,g,h,h,h,h,[Võtmemärgid: ei mahu kirjutada veel cb; kokku on helistikus 6 bemolli!],
4516,4399,1,,&,bh;be;ba;bd;bg,g,,,,2d,h,2c,a,h,2c,2d,2d,2c,h,a,fb,g,g,g,g,[Võtmemärgid: ei mahu kirjutada veel cb; kokku on helistikus 6 bemolli!],
4517,4400,1,,&,bh;be;ba;bd;bg,g,,,,2d,h,2c,a,2d,h,h,h,h,a,a,g,g,h,2d,2d,[Võtmemärgid: ei mahu kirjutada veel cb; kokku on helistikus 6 bemolli!],
4518,4401,1,,&,#f,g,,,,g,h,g,h,f,a,a,a,d,f,d,f,g,g,g,g,,
4519,4402,1,,&,#f;#c,d,,,,d,a,#g,a,f,e,f,d,e/f,g,f,g,e,d,f/e,d,,
4520,4404,1,,&,bh;be;ba,c,,,,f,c,c,e,d,c,2h,c,d,c,c,e,d,c,c,c,,
4521,4405,1,,&,#f,g,,,,g,g,2c,h,a,h/2c,2d,2d,2c/h,a,h,g,f,a,g,g,,
4522,4406,1,,&,bh/be,g,,,,g,g,h,g,h,g,2d,2d,2c[2c/a],a[h/2c],h,g[h],a,a[f],g,g,,
4523,4407,1,,&,,g,,,,2e,2d,2c,h,2c,a,g,g,a,h,2c,h[h/2c],2d,h,g,g,,
4905,76,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4906,75,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
